English ,Spanish 
Hi,Hola
How are you,Cómo estás 
Pura Vida,Pure Life
What's up,Qué tal
Where is the bathroom?,Dondé está el baño
How do I get to...,Comó se llega a...
What is your name,Comó te llamas
"Look, it's a turtle","Mira, es una tortuga"
How much does it cost?,Cuánto cuesta?
Nice to meet you,Gusto en conocerlo(la)
How long have you lived here?,Por cuánto tiempo has vivido aquí?
I am here to study the ocean,Estoy aquí para estudiar el mar
The food is delicious,La comida está rica
Thank you for your hospitality,Gracias por su hospitalidad
What do you do for fun?,Qué haces para divertirse
What ,Cuál es su trabajo?
How old are you?,Cuántos años tienes?
Where are you from?,De dondé es usted?
What type of turtle is it?,Qué typo de tortuga es?
At what time?,A qué hora?
How do I get there?,Comó se llega allá?
Where is the hotel?,Dondé está el hotel?
Do you like sports?,Le gusta los deportes?
What time is it?,Qué hora es?
Is it raining?,Está lloviendo?
Can you please wash my clothes?,Porfavor puede llavar mi ropa?
What is for dinner?,Qué hay para la cena?
What music do you like?,Qué música le gusta?
What grade are you in?,En qué grado estás?
I do not understand,Yo no entiendo
Help,Ayudame 
Excuse me,disculpe
Sorry,perdón
Can I see your menu please?,puedo ver su menú
Call the police,Llame a la policía
I lost my suitcase,Perdí mi maleta
I need a doctor,Necesito un doctor 
thank you ,gracias 
I'm drowning ,Estoy ahogando
Don't die ,No mueres 